 * ABOUT        XMRig/6.25.0 gcc/13.2.1 (built for Linux x86-64, 64 bit)
 * LIBS         libuv/1.51.0 OpenSSL/3.0.16 hwloc/2.12.1
 * HUGE PAGES   supported
 * 1GB PAGES    disabled
 * CPU          AMD EPYC-Milan Processor (1) 64-bit AES VM
                L2:0.5 MB L3:32.0 MB 1C/2T NUMA:1
 * MEMORY       1.3/1.8 GB (73%)
 * DONATE       1%
 * ASSEMBLY     auto:ryzen
 * POOL #1      pool.supportxmr.com:3333 algo auto
 * COMMANDS     'h' hashrate, 'p' pause, 'r' resume, 's' results, 'c' connection
[2026-01-17 21:47:40.163]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (7 tx)
[2026-01-17 21:47:50.860]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (8 tx)
[2026-01-17 21:48:00.872]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (12 tx)
[2026-01-17 21:48:10.886]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (18 tx)
[2026-01-17 21:48:13.932]  miner    speed 10s/60s/15m 33.20 33.13 n/a H/s max 36.18 H/s
[2026-01-17 21:48:21.114]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (24 tx)
[2026-01-17 21:48:31.170]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (26 tx)
[2026-01-17 21:48:41.497]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (28 tx)
[2026-01-17 21:48:51.588]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (34 tx)
[2026-01-17 21:49:01.677]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (37 tx)
[2026-01-17 21:49:11.367]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (40 tx)
[2026-01-17 21:49:12.457]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (41 tx)
[2026-01-17 21:49:14.091]  miner    speed 10s/60s/15m 32.90 32.77 n/a H/s max 36.18 H/s
[2026-01-17 21:49:22.704]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (47 tx)
[2026-01-17 21:49:23.386]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590054 (9 tx)
[2026-01-17 21:49:33.629]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590054 (14 tx)
[2026-01-17 21:49:43.662]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590054 (18 tx)
[2026-01-17 21:49:45.782]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590055 (2 tx)
[2026-01-17 21:49:55.806]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590055 (3 tx)
[2026-01-17 21:50:05.833]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590055 (8 tx)
[2026-01-17 21:50:14.238]  miner    speed 10s/60s/15m 32.45 32.58 32.56 H/s max 36.18 H/s
[2026-01-17 21:50:15.837]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590055 (14 tx)
[2026-01-17 21:50:21.422]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590056 (3 tx)
[2026-01-17 21:50:25.462]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590057 (4 tx)
[2026-01-17 21:50:25.825]  net      pool.supportxmr.com:3333 read error: "end of file"
[2026-01-17 21:50:25.826]  net      no active pools, stop mining
[2026-01-17 21:50:31.297]  net      use pool pool.supportxmr.com:3333  107.167.92.130
